Index,Type,Parameter,State1,State2
1.0,EST,TPM1,0.3149302761397871,0.8146135677528942
2.0,STD,TPM1,0.02200589715733772,0.017262725158265265
3.0,EST,TPM2,0.6850697238602129,0.18538643224710583
4.0,STD,TPM2,0.02200589715733772,0.017262725158265265
5.0,EST,CPM1,1.542933372963956e-08,0.14534429618956696
6.0,STD,CPM1,7.731202758036332e-06,0.007998052875614683
7.0,EST,CPM2,0.03498065313680292,3.7323216839306666e-09
8.0,STD,CPM2,0.0035808991157169653,2.342821011350331e-06
9.0,EST,CPM3,0.04934120543005498,2.679378204221319e-07
10.0,STD,CPM3,0.004249427234448264,9.94936831861291e-05
11.0,EST,CPM4,0.04248864903128423,0.008585126005003068
12.0,STD,CPM4,0.00713192567451891,0.0076495421164019
13.0,EST,CPM5,7.415959150434716e-09,0.2070723860671992
14.0,STD,CPM5,2.516493093012792e-06,0.009557290577572168
15.0,EST,CPM6,0.03350777032444633,3.0593640738704474e-09
16.0,STD,CPM6,0.0035050321408552185,1.557585996160816e-06
17.0,EST,CPM7,0.01803341440599848,0.019273878199285485
18.0,STD,CPM7,0.0053854477972819,0.006321805030272083
19.0,EST,CPM8,0.08947681900687995,1.524106955006144e-08
20.0,STD,CPM8,0.005706973795694594,5.800710132232491e-06
21.0,EST,CPM9,1.231512594154431e-07,0.15234889426259365
22.0,STD,CPM9,4.8057213567291216e-05,0.008189609462335944
23.0,EST,CPM10,0.0036821741881416354,2.7430858367513685e-09
24.0,STD,CPM10,0.0011641338015198099,1.250370306714864e-06
25.0,EST,CPM11,0.017631946297527307,0.002677402423000855
26.0,STD,CPM11,0.003111328524286001,0.002492890570999784
27.0,EST,CPM12,0.0637016591890017,6.143710239487633e-09
28.0,STD,CPM12,0.004823361823458901,2.775674824989273e-06
29.0,EST,CPM13,0.040504048005239414,4.188328263680286e-09
30.0,STD,CPM13,0.0038518835289994176,1.6883125583383835e-06
31.0,EST,CPM14,0.11488448318456336,7.66628990905239e-09
32.0,STD,CPM14,0.006456029445062585,2.518180056371378e-06
33.0,EST,CPM15,8.943216153069063e-09,0.13133549469080413
34.0,STD,CPM15,3.5721761146844863e-06,0.0076009109138403886
35.0,EST,CPM16,0.03298994490642985,0.006744897169600565
36.0,STD,CPM16,0.004818596374489891,0.0045280716235019435
37.0,EST,CPM17,0.00220930911117404,1.5955854586098374e-08
38.0,STD,CPM17,0.000901824184001142,4.16470212813802e-06
39.0,EST,CPM18,0.08947711970372951,5.575812182308764e-09
40.0,STD,CPM18,0.005706983486612815,2.114389151408239e-06
41.0,EST,CPM19,0.08874050437630362,1.4388397039707213e-08
42.0,STD,CPM19,0.005683717394189459,7.0825994473093135e-06
43.0,EST,CPM20,0.09031657870513353,0.03271167330844571
44.0,STD,CPM20,0.01282633023108076,0.014868670752929096
45.0,EST,CPM21,0.008609064664999161,0.03441858767058675
46.0,STD,CPM21,0.0038349697354491453,0.005554674583304659
47.0,EST,CPM22,0.019147423577777625,3.075966584584518e-09
48.0,STD,CPM22,0.0026520123138469537,1.375846752513271e-06
49.0,EST,CPM23,0.02722934695856405,2.2632444585369183e-05
50.0,STD,CPM23,0.0037375133950754134,0.0025928332990201673
51.0,EST,CPM24,0.00793802635188836,0.005447017969539435
52.0,STD,CPM24,0.0020886213184526606,0.002112160444021701
53.0,EST,CPM25,0.020029765075696385,0.016024673599234752
54.0,STD,CPM25,0.005880128206042986,0.006772956149598248
55.0,EST,CPM26,0.0003682157953006679,4.137866232923916e-09
56.0,STD,CPM26,0.0003682094466444855,1.5745890546851967e-06
57.0,EST,CPM27,0.1047117236332944,0.2379926861546674
58.0,STD,CPM27,0.022810126920187752,0.02795032244271104
